Kernel_Name,Arrive_Period,Unroll_Factor,Vector_Factor,fastest_execution_duration,slowest_execution_duration,Average_Execution_duration,fastest_waiting_duration,slowest_waiting_duration,Average_Waiting_duration,Total_Execution_duration,Total_Waiting_duration,Execution_duration Ratio,Waiting_duration Ratio,Overall_Case_Latency,CGRA Utilization,Total_Execution_duration Ratio,Total_Waiting_duration Ratio,Total_Latency Ratio
fir.cpp,600000,1,1,600000,600000,600000.0,21040128,186932480,105728467.39393939,39600000,6978078848,0.005642891454242849,0.9943571085457571,226532480,0.10087275626389654,0.17480936949968498,30.803877872170915,30.9786872416706
latnrm.c,3600000,1,1,2400000,2400000,2400000.0,9794304,180559616,96199656.72727273,26400000,1058196224,0.024340855532980356,0.9756591444670196,226532480,0.10087275626389654,0.11653957966645666,4.671278149605743,4.7878177292721995
fft.c,3840000,1,1,3360000,3360000,3360000.0,12194304,171921024,92318681.6,33600000,923186816,0.035117540750059836,0.9648824592499402,226532480,0.10087275626389654,0.1483231013936721,4.0752955867520635,4.223618688145735
dtw.cpp,3932160,1,1,3670016,3670016,3670016.0,15554304,176375872,96515257.6,36700160,965152576,0.03663229003748511,0.9633677099625149,226532480,0.10087275626389654,0.16200837954892827,4.260548315190828,4.4225566947397565
spmv.c,4571136,1,1,1015808,1015808,1015808.0,19224320,166018688,90737032.0,8126464,725896256,0.01107113414691033,0.9889288658530897,226532480,0.10087275626389654,0.035873284042976974,3.204380475594493,3.2402537596374703
conv.c,1200000,1,1,800000,800000,800000.0,20240128,185608192,104010387.39393939,26400000,3432342784,0.00763283124785263,0.9923671687521474,226532480,0.10087275626389654,0.11653957966645666,15.151658534793775,15.268198114460231
relu.c,4500000,1,1,2000000,2000000,2000000.0,7794304,163916640,86801184.0,16000000,694409472,0.02252222222622617,0.9774777777737739,226532480,0.10087275626389654,0.070630048282701,3.0653859084578072,3.136015956740508
histogram.cpp,1048576,1,1,524288,524288,524288.0,21640128,186610880,105054694.73684211,19922944,3992078400,0.004965836821015781,0.9950341631789842,226532480,0.10087275626389654,0.08794740604084678,17.622543133770485,17.71049053981133
mvt.c,13500000,1,1,3600000,3600000,3600000.0,0,75471840,37735920.0,7200000,75471840,0.08709132396230687,0.9129086760376931,226532480,0.10087275626389654,0.03178352172721545,0.3331612314490178,0.36494475317623326
gemm.c,12582912,1,1,4194304,4194304,4194304.0,3600000,129110656,67460330.66666667,12582912,202380992,0.0585349994387895,0.9414650005612105,226532480,0.10087275626389654,0.055545730131061115,0.8933862022788078,0.948931932409869
